"Rk","Team","Conf","W-L","AdjEM","AdjO","AdjD","AdjT","Luck","AdjEM_SOS","OppO","OppD","AdjEM_NCSOS","Year"
"39","Maryland","B10","19-13",15.03,114.1,99.1,66.3,-0.046,8.18,108.8,100.6,-4.21,2018
"40","Missouri","SEC","20-13",14.83,111.9,97,65.7,-0.025,9.55,109.8,100.2,1.07,2018
"41","Syracuse","ACC","23-14",14.82,107,92.2,62.9,0.021,9.81,111.3,101.5,-0.2,2018
"42","Kansas St.","B12","25-12",14.77,110.1,95.3,65.6,0.071,9.39,111,101.6,-6.5,2018
"43","Davidson","A10","21-12",14.7,117,102.3,64.5,-0.063,2.11,105.6,103.5,1.33,2018
"44","Arkansas","SEC","23-12",14.69,116.3,101.7,69.7,0.059,9.9,110.5,100.6,0.87,2018
"45","Middle Tennessee","CUSA","25-8",14.68,111.3,96.6,66.5,0.008,3.58,107.5,103.9,7.65,2018
"46","North Carolina St.","ACC","21-12",14.52,116.3,101.8,71.4,-0.001,7.71,108.6,100.9,-9.71,2018
"47","Western Kentucky","CUSA","27-11",14.45,114.5,100.1,68.8,-0.003,3.72,106.9,103.2,3.81,2018
"48","Oklahoma","B12","18-14",14.16,114.6,100.5,75.5,-0.008,11.68,111.3,99.6,2.13,2018
"49","Arizona St.","P12","20-12",14.13,116.7,102.6,71.3,-0.083,5.48,107.4,101.9,0.94,2018
"50","San Diego St.","MWC","22-11",14.09,110.5,96.4,68.8,-0.032,3.46,107.2,103.8,-0.8,2018
"51","USC","P12","24-12",14.06,114.5,100.5,67.7,-0.017,5.12,108.2,103.1,1.37,2018
"52","Rhode Island","A10","26-8",13.93,111.1,97.2,68.4,0.063,3.49,107.6,104.1,3.83,2018
"53","Marquette","BE","21-14",13.68,119.2,105.6,69.5,0.02,9.99,110.9,100.9,-0.66,2018
"54","Mississippi St.","SEC","25-12",13.61,110.5,96.9,67.3,0.042,7.03,108.5,101.5,-10.55,2018
"55","Nebraska","B10","22-11",13.54,110.6,97.1,67.4,0.055,7.14,108.4,101.3,-3.1,2018
"56","UCLA","P12","21-12",13.52,115,101.4,70.3,-0.027,6.42,108.1,101.7,2.93,2018
"57","Alabama","SEC","20-16",13.41,108.7,95.2,68.7,0.017,11.17,110.9,99.7,2.54,2018
"58","Utah","P12","23-12",12.99,111.8,98.9,65.6,0.031,6.31,109.1,102.7,-1.28,2018
"59","Oklahoma St.","B12","21-15",12.93,111.6,98.6,68.9,-0.001,9.22,110.6,101.4,-5.35,2018
"60","New Mexico St.","WAC","28-6",12.92,107.9,95,68.5,0.027,-1.4,104,105.4,3.7,2018
"61","Boise St.","MWC","23-9",12.9,109.9,97,68.8,-0.006,2.23,106.6,104.3,-1.95,2018
"62","Murray St.","OVC","26-6",12.19,112.9,100.7,67.2,0,-3.56,102.9,106.4,-0.99,2018
"63","Providence","BE","21-14",12.17,108.9,96.7,67.1,0.074,10.58,111.6,101.1,-1.38,2018
"64","Old Dominion","CUSA","25-7",12.14,108.8,96.6,64.5,0.041,-1.27,104.4,105.6,-3.43,2018
"65","Georgia","SEC","18-15",11.64,107.5,95.9,64.4,0.01,10.09,111,100.9,0.51,2018
"66","LSU","SEC","18-15",11.62,114.8,103.2,68.7,-0.018,8.59,110,101.4,-2.91,2018
"67","Buffalo","MAC","27-9",11.53,114.7,103.2,72.7,0.006,-0.06,105.1,105.2,3.87,2018
"68","St. Bonaventure","A10","26-8",11.21,110.8,99.5,69.4,0.078,2.8,107,104.2,1.17,2018
"69","Louisiana Lafayette","SB","27-7",11.14,112.7,101.5,70.6,0.033,-2.59,103.5,106.1,-0.58,2018
"70","Wisconsin","B10","15-18",10.68,109.7,99.1,62.7,-0.068,9.89,110.9,101,0.06,2018
"71","Indiana","B10","16-15",10.44,109.4,99,66.6,-0.025,7.83,109.7,101.8,-2.76,2018
"72","Montana","BSky","26-8",10.4,108.8,98.4,68,0,-1.96,104,106,2.09,2018
"73","BYU","WCC","24-11",10.32,108.3,98,67.9,0.006,0.54,106.4,105.9,-2.08,2018
"74","St. John's","BE","16-17",10.31,106.5,96.2,69.4,-0.016,11.11,111.5,100.4,3.05,2018
"75","Oregon","P12","23-13",10.24,111.1,100.9,67.3,0.004,3.5,107.9,104.4,-6.15,2018
"76","Vermont","AE","27-8",10.22,113.8,103.5,64.1,-0.009,-2.97,102.5,105.4,4.54,2018
"77","Boston College","ACC","19-16",10.21,113.1,102.9,70.2,0.004,8.49,109.1,100.6,-7.11,2018
"78","South Dakota St.","Sum","28-7",10.2,113.8,103.6,70.5,0.097,-0.09,105.8,105.9,3.59,2018
"79","Fresno St.","MWC","21-11",10.07,109.7,99.6,66.6,-0.057,0.84,105.8,105,-6.31,2018
"80","South Carolina","SEC","17-16",9.91,105.6,95.7,68.7,0.003,9.63,109.9,100.3,0.89,2018
"81","South Dakota","Sum","26-9",9.85,109,99.2,70.9,-0.048,-2.97,104.7,107.6,-1.65,2018
"82","UNC Greensboro","SC","27-8",9.22,104.9,95.7,65.2,-0.024,-4.57,103.7,108.2,-3.46,2018
"83","Belmont","OVC","24-9",9.15,112.7,103.5,66.9,-0.004,-3.22,103.1,106.4,1.45,2018
"84","SMU","Amer","17-16",8.61,109.5,100.9,64.3,-0.102,2.41,105.4,103,-3.88,2018
"85","Northwestern","B10","15-17",8.57,109.2,100.6,63.9,-0.068,8.85,109,100.2,-1.9,2018
"86","Temple","Amer","17-16",8.38,108.3,100,67.6,0.028,8.53,108.9,100.3,9.11,2018
"87","Stanford","P12","19-16",8.37,107.7,99.3,70.9,0.016,6.29,109.1,102.8,3.46,2018
"88","Iowa","B10","14-19",8.14,116.6,108.4,70.3,-0.09,8.23,109.2,101,-4.11,2018
"89","Wake Forest","ACC","11-20",7.94,110.9,103,69.5,-0.12,9.05,109.2,100.2,-1.4,2018
"90","Northern Kentucky","Horz","22-10",7.93,107.5,99.6,68.6,-0.073,-4.04,102.6,106.6,1.95,2018
